regiao;estado;coduf;data;semanaEpidemiologica;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
Nordeste;PI;22;2021-10-08;40;3273227;321029;433;7028;3
Nordeste;PI;22;2021-10-09;40;3273227;321273;244;7033;5
Nordeste;PI;22;2021-10-10;41;3273227;321433;160;7037;4
Nordeste;PI;22;2021-10-11;41;3273227;321611;178;7038;1
Nordeste;PI;22;2021-10-12;41;3273227;321838;227;7042;4
Nordeste;PI;22;2021-10-13;41;3273227;322014;176;7043;1
Nordeste;PI;22;2021-10-14;41;3273227;322304;290;7050;7
Nordeste;PI;22;2021-10-15;41;3273227;322556;252;7058;8
Nordeste;PI;22;2021-10-16;41;3273227;322742;186;7064;6
Nordeste;PI;22;2021-10-17;42;3273227;322860;118;7067;3
Nordeste;PI;22;2021-10-18;42;3273227;322994;134;7068;1
Nordeste;PI;22;2021-10-19;42;3273227;323137;143;7070;2
Nordeste;PI;22;2021-10-20;42;3273227;323274;137;7073;3
Nordeste;PI;22;2021-10-21;42;3273227;323598;324;7075;2
Nordeste;PI;22;2021-10-22;42;3273227;323888;290;7078;3
Nordeste;PI;22;2021-10-23;42;3273227;324128;240;7080;2
Nordeste;PI;22;2021-10-24;43;3273227;324318;190;7082;2
Nordeste;PI;22;2021-10-25;43;3273227;324435;117;7084;2
Nordeste;PI;22;2021-10-26;43;3273227;324542;107;7087;3
Nordeste;PI;22;2021-10-27;43;3273227;324832;290;7088;1
Nordeste;PI;22;2021-10-28;43;3273227;325073;241;7095;7
Nordeste;PI;22;2021-10-29;43;3273227;325301;228;7096;1
Nordeste;PI;22;2021-10-30;43;3273227;325492;191;7098;2
Nordeste;PI;22;2021-10-31;44;3273227;325695;203;7099;1
Nordeste;PI;22;2021-11-01;44;3273227;325812;117;7101;2
Nordeste;PI;22;2021-11-02;44;3273227;325971;159;7103;2
Nordeste;PI;22;2021-11-03;44;3273227;326089;118;7108;5
Nordeste;PI;22;2021-11-04;44;3273227;326344;255;7108;0
Nordeste;PI;22;2021-11-05;44;3273227;326664;320;7110;2
Nordeste;PI;22;2021-11-06;44;3273227;326930;266;7111;1
Nordeste;PI;22;2021-11-07;45;3273227;327054;124;7114;3
Nordeste;PI;22;2021-11-08;45;3273227;327160;106;7114;0
Nordeste;PI;22;2021-11-09;45;3273227;327325;165;7118;4
Nordeste;PI;22;2021-11-10;45;3273227;327575;250;7124;6
Nordeste;PI;22;2021-11-11;45;3273227;327816;241;7124;0
Nordeste;PI;22;2021-11-12;45;3273227;328083;267;7127;3
Nordeste;PI;22;2021-11-13;45;3273227;328326;243;7131;4
Nordeste;PI;22;2021-11-14;46;3273227;328434;108;7137;6
Nordeste;PI;22;2021-11-15;46;3273227;328481;47;7141;4
Nordeste;PI;22;2021-11-16;46;3273227;328577;96;7147;6
Nordeste;PI;22;2021-11-17;46;3273227;328833;256;7152;5
Nordeste;PI;22;2021-11-18;46;3273227;329013;180;7154;2
Nordeste;PI;22;2021-11-19;46;3273227;329287;274;7158;4
Nordeste;PI;22;2021-11-20;46;3273227;329370;83;7161;3
Nordeste;PI;22;2021-11-21;47;3273227;329779;409;7163;2
Nordeste;PI;22;2021-11-22;47;3273227;329875;96;7165;2
Nordeste;PI;22;2021-11-23;47;3273227;330085;210;7166;1
Nordeste;PI;22;2021-11-24;47;3273227;330358;273;7168;2
Nordeste;PI;22;2021-11-25;47;3273227;330655;297;7175;7
Nordeste;PI;22;2021-11-26;47;3273227;330963;308;7178;3
Nordeste;PI;22;2021-11-27;47;3273227;331092;129;7181;3
Nordeste;PI;22;2021-11-28;48;3273227;331273;181;7185;4
Nordeste;PI;22;2021-11-29;48;3273227;331371;98;7185;0
Nordeste;PI;22;2021-11-30;48;3273227;331541;170;7188;3
Nordeste;PI;22;2021-12-01;48;3273227;331612;71;7194;6
Nordeste;PI;22;2021-12-02;48;3273227;332003;391;7199;5
Nordeste;PI;22;2021-12-03;48;3273227;332271;268;7200;1
Nordeste;PI;22;2021-12-04;48;3273227;332529;258;7202;2
Nordeste;PI;22;2021-12-05;49;3273227;332611;82;7204;2
Nordeste;PI;22;2021-12-06;49;3273227;332726;115;7208;4
Nordeste;PI;22;2021-12-07;49;3273227;332909;183;7214;6
Nordeste;PI;22;2021-12-08;49;3273227;333121;212;7218;4
Nordeste;PI;22;2021-12-09;49;3273227;333318;197;7220;2
Nordeste;PI;22;2021-12-10;49;3273227;333573;255;7225;5
Nordeste;PI;22;2021-12-11;49;3273227;333615;42;7230;5
Nordeste;PI;22;2021-12-12;50;3273227;333618;3;7231;1
Nordeste;PI;22;2021-12-13;50;3273227;333654;36;7231;0
Nordeste;PI;22;2021-12-14;50;3273227;333687;33;7233;2
Nordeste;PI;22;2021-12-15;50;3273227;333766;79;7236;3
Nordeste;PI;22;2021-12-16;50;3273227;333846;80;7237;1
Nordeste;PI;22;2021-12-17;50;3273227;333891;45;7239;2
Nordeste;PI;22;2021-12-18;50;3273227;333891;0;7245;6
Nordeste;PI;22;2021-12-19;51;3273227;334036;145;7245;0
Nordeste;PI;22;2021-12-20;51;3273227;334042;6;7249;4
Nordeste;PI;22;2021-12-21;51;3273227;334061;19;7253;4
Nordeste;PI;22;2021-12-22;51;3273227;334080;19;7256;3
Nordeste;PI;22;2021-12-23;51;3273227;334107;27;7258;2
Nordeste;PI;22;2021-12-24;51;3273227;334168;61;7264;6
Nordeste;PI;22;2021-12-25;51;3273227;334220;52;7266;2
Nordeste;PI;22;2021-12-26;52;3273227;334241;21;7268;2
Nordeste;PI;22;2021-12-27;52;3273227;334301;60;7270;2
Nordeste;PI;22;2021-12-28;52;3273227;334319;18;7273;3
Nordeste;PI;22;2021-12-29;52;3273227;334338;19;7275;2
Nordeste;PI;22;2021-12-30;52;3273227;334350;12;7275;0
Nordeste;PI;22;2021-12-31;52;3273227;334440;90;7275;0
Nordeste;PI;22;2022-01-01;52;3273227;334472;32;7275;0
Nordeste;PI;22;2022-01-02;1;3273227;334490;18;7275;0
Nordeste;PI;22;2022-01-03;1;3273227;334548;58;7279;4
Nordeste;PI;22;2022-01-04;1;3273227;334582;34;7281;2
Nordeste;PI;22;2022-01-05;1;3273227;334606;24;7283;2
Nordeste;PI;22;2022-01-06;1;3273227;334664;58;7287;4
Nordeste;PI;22;2022-01-07;1;3273227;344324;9660;7293;6
Nordeste;PI;22;2022-01-08;1;3273227;344379;55;7295;2
Nordeste;PI;22;2022-01-09;2;3273227;344434;55;7297;2
Nordeste;PI;22;2022-01-10;2;3273227;344523;89;7297;0
Nordeste;PI;22;2022-01-11;2;3273227;344557;34;7301;4
Nordeste;PI;22;2022-01-12;2;3273227;344630;73;7303;2
Nordeste;PI;22;2022-01-13;2;3273227;344668;38;7305;2
Nordeste;PI;22;2022-01-14;2;3273227;344753;85;7306;1
Nordeste;PI;22;2022-01-15;2;3273227;344821;68;7312;6
Nordeste;PI;22;2022-01-16;3;3273227;345004;183;7314;2
Nordeste;PI;22;2022-01-17;3;3273227;345078;74;7318;4
Nordeste;PI;22;2022-01-18;3;3273227;336690;-8388;7323;5
Nordeste;PI;22;2022-01-19;3;3273227;336925;235;7329;6
Nordeste;PI;22;2022-01-20;3;3273227;337286;361;7333;4
Nordeste;PI;22;2022-01-21;3;3273227;337653;367;7336;3
Nordeste;PI;22;2022-01-22;3;3273227;338077;424;7343;7
Nordeste;PI;22;2022-01-23;4;3273227;338343;266;7346;3
Nordeste;PI;22;2022-01-24;4;3273227;338582;239;7348;2
Nordeste;PI;22;2022-01-25;4;3273227;338895;313;7351;3
Nordeste;PI;22;2022-01-26;4;3273227;339762;867;7356;5
Nordeste;PI;22;2022-01-27;4;3273227;340452;690;7359;3
Nordeste;PI;22;2022-01-28;4;3273227;341237;785;7361;2
Nordeste;PI;22;2022-01-29;4;3273227;341968;731;7364;3
Nordeste;PI;22;2022-01-30;5;3273227;342655;687;7368;4
Nordeste;PI;22;2022-01-31;5;3273227;343014;359;7377;9
Nordeste;PI;22;2022-02-01;5;3273227;344237;1223;7389;12
Nordeste;PI;22;2022-02-02;5;3273227;345807;1570;7398;9
Nordeste;PI;22;2022-02-03;5;3273227;347924;2117;7405;7
Nordeste;PI;22;2022-02-04;5;3273227;349140;1216;7419;14
Nordeste;PI;22;2022-02-05;5;3273227;350036;896;7436;17
Nordeste;PI;22;2022-02-06;6;3273227;350618;582;7437;1
Nordeste;PI;22;2022-02-07;6;3273227;351240;622;7444;7
Nordeste;PI;22;2022-02-08;6;3273227;352464;1224;7466;22
Nordeste;PI;22;2022-02-09;6;3273227;353714;1250;7479;13
Nordeste;PI;22;2022-02-10;6;3273227;354619;905;7497;18
Nordeste;PI;22;2022-02-11;6;3273227;355645;1026;7514;17
Nordeste;PI;22;2022-02-12;6;3273227;356816;1171;7526;12
Nordeste;PI;22;2022-02-13;7;3273227;357107;291;7535;9
Nordeste;PI;22;2022-02-14;7;3273227;357810;703;7545;10
Nordeste;PI;22;2022-02-15;7;3273227;358516;706;7558;13
Nordeste;PI;22;2022-02-16;7;3273227;359519;1003;7571;13
Nordeste;PI;22;2022-02-17;7;3273227;360563;1044;7580;9
Nordeste;PI;22;2022-02-18;7;3273227;361320;757;7591;11
Nordeste;PI;22;2022-02-19;7;3273227;362031;711;7599;8
Nordeste;PI;22;2022-02-20;8;3273227;362504;473;7604;5
Nordeste;PI;22;2022-02-21;8;3273227;362771;267;7607;3
Nordeste;PI;22;2022-02-22;8;3273227;363448;677;7614;7
Nordeste;PI;22;2022-02-23;8;3273227;364093;645;7619;5
Nordeste;PI;22;2022-02-24;8;3273227;364418;325;7623;4
Nordeste;PI;22;2022-02-25;8;3273227;364796;378;7628;5
Nordeste;PI;22;2022-02-26;8;3273227;365032;236;7640;12
Nordeste;PI;22;2022-02-27;9;3273227;365108;76;7647;7
Nordeste;PI;22;2022-02-28;9;3273227;365153;45;7656;9
Nordeste;PI;22;2022-03-01;9;3273227;365225;72;7662;6
Nordeste;PI;22;2022-03-02;9;3273227;365280;55;7664;2
Nordeste;PI;22;2022-03-03;9;3273227;365356;76;7668;4
Nordeste;PI;22;2022-03-04;9;3273227;365598;242;7675;7
Nordeste;PI;22;2022-03-05;9;3273227;365896;298;7679;4
Nordeste;PI;22;2022-03-06;10;3273227;365915;19;7680;1
Nordeste;PI;22;2022-03-07;10;3273227;365923;8;7681;1
Nordeste;PI;22;2022-03-08;10;3273227;366073;150;7689;8
Nordeste;PI;22;2022-03-09;10;3273227;366202;129;7691;2
Nordeste;PI;22;2022-03-10;10;3273227;366202;0;7694;3
Nordeste;PI;22;2022-03-11;10;3273227;366414;212;7697;3
