data,br_obitos,br_obitos_acumulado,br_casos,br_casos_acumulado
2020-05-17,485,16118,241080,7938
2020-05-18,674,16792,254220,13140
2020-05-19,1179,17971,271628,17408
2020-05-20,888,18859,291579,19951
2020-05-21,1188,20047,310087,18508
2020-05-22,999,21046,330890,20803
2020-05-23,967,22013,347398,16508
2020-05-24,653,22666,363211,15813
2020-05-25,807,23473,374898,11687
2020-05-26,1039,24512,391222,16324
2020-05-27,1086,25598,411821,20599
2020-05-28,1156,26754,438238,26417
2020-05-29,1124,27878,465166,26928
2020-05-30,956,28834,498440,33274
2020-05-31,480,29314,514200,15760
2020-06-01,623,29937,526447,12247
2020-06-02,1262,31199,555383,28936
2020-06-03,1349,32548,584016,28633
2020-06-04,1473,34021,614941,30925
2020-06-05,1005,35026,645771,30830
2020-06-06,904,35930,672846,27075
2020-06-07,525,36455,691758,18912
2020-06-08,679,37134,707412,15654
2020-06-09,1272,38406,739503,32091
2020-06-10,1274,39680,772416,32913
2020-06-11,1239,40919,802828,30412
2020-06-12,909,41828,828810,25982
2020-06-13,892,42720,850514,21704
2020-06-14,612,43332,867624,17110
2020-06-15,627,43959,888271,20647
2020-06-16,1282,45241,923189,34918
2020-06-17,1269,46510,955377,32188
2020-06-18,1238,47748,978142,22765
2020-06-19,1206,48954,1032913,54771
2020-06-20,1022,49976,1067579,34666
2020-06-21,641,50617,1085038,17459
2020-06-22,654,51271,1106470,21432
2020-06-23,1374,52645,1145906,39436
2020-06-24,1185,53830,1188631,42725
2020-06-25,1141,54971,1228114,39483
2020-06-26,990,55961,1274974,46860
2020-06-27,1109,57070,1313667,38693
2020-06-28,552,57622,1344143,30476
2020-06-29,692,58314,1368195,24052
2020-06-30,1280,59594,1402041,33846
2020-07-01,1038,60632,1448753,46712
2020-07-02,1252,61884,1496858,48105
2020-07-03,1290,63174,1539081,42223
2020-07-04,1091,64265,1577004,37923
2020-07-05,602,64867,1603055,26051
2020-07-06,620,65487,1623284,20229
2020-07-07,1254,66741,1668589,45305
2020-07-08,1223,67964,1713160,44571
2020-07-09,1220,69184,1755779,42619
2020-07-10,1214,70398,1800827,45048
2020-07-11,1071,71469,1839850,39023
2020-07-12,631,72100,1864681,24831
2020-07-13,733,72833,1884967,20286
2020-07-14,1300,74133,1926824,41857
2020-07-15,1233,75366,1966748,39924
2020-07-16,1322,76688,2012151,45403
2020-07-17,1163,77851,2046328,34177
2020-07-18,921,78772,2074860,28532
2020-07-19,716,79488,2098389,23529
2020-07-20,632,80120,2118646,20257
2020-07-21,1367,81487,2159654,41008
2020-07-22,1284,82771,2227514,67860
2020-07-23,1311,84082,2287475,59961
2020-07-24,1156,85238,2343366,55891
2020-07-25,1211,86449,2394513,51147
2020-07-26,555,87004,2419091,24578
2020-07-27,614,87618,2442375,23284
2020-07-28,921,88539,2483191,40816
2020-07-29,1595,90134,2552265,69074
2020-07-30,1129,91263,2610102,57837
2020-07-31,1212,92475,2662485,52383
2020-08-01,1088,93563,2707877,45392
2020-08-02,541,94104,2733677,25800
2020-08-03,561,94665,2750318,16641
2020-08-04,1154,95819,2801921,51603
2020-08-05,1421,97240,2857597,55676
2020-08-06,1253,98493,2912212,54615
2020-08-07,1079,99572,2962442,50230
2020-08-08,905,100477,3012412,49970
2020-08-09,572,101049,3035422,23010
2020-08-10,703,101752,3057470,22048
2020-08-11,1274,103026,3109630,52160
2020-08-12,1175,104201,3164785,55155
2020-08-13,1262,105463,3224876,60091
2020-08-14,1060,106523,3275520,50644
2020-08-15,709,107232,3317096,41576
2020-08-16,620,107852,3340197,23101
2020-08-17,684,108536,3359570,19373
2020-08-18,1352,109888,3407354,47784
2020-08-19,1212,111100,3456652,49298
2020-08-20,1204,112304,3501975,45323
2020-08-21,1054,113358,3532330,30355
2020-08-22,892,114250,3582362,50032
2020-08-23,494,114744,3605783,23421
2020-08-24,565,115309,3622861,17078
2020-08-25,1271,116580,3669995,47134
2020-08-26,1085,117665,3717156,47161
2020-08-27,984,118649,3761391,44235
2020-08-28,855,119504,3804803,43412
2020-08-29,958,120462,3846153,41350
2020-08-30,366,120828,3862311,16158
2020-08-31,553,121381,3908272,45961
2020-09-01,1215,122596,3950931,42659
2020-09-02,1184,123780,3997865,46934
2020-09-03,834,124614,4041638,43773
2020-09-04,907,125521,4092832,51194
2020-09-05,682,126203,4123000,30168
2020-09-06,447,126650,4137521,14521
2020-09-07,310,126960,4147794,10273
2020-09-08,504,127464,4162073,14279
2020-09-09,1075,128539,4197889,35816
2020-09-10,983,129522,4238446,40557
2020-09-11,874,130396,4282164,43718
2020-09-12,814,131210,4315687,33523
2020-09-13,415,131625,4330455,14768
2020-09-14,381,132006,4345610,15155
2020-09-15,1113,133119,4382263,36653
2020-09-16,987,134106,4419083,36820
2020-09-17,829,134935,4455386,36303
2020-09-18,858,135793,4495183,39797
2020-09-19,739,136532,4528240,33057
2020-09-20,363,136895,4544629,16389
2020-09-21,377,137272,4558068,13439
2020-09-22,836,138108,4591604,33536
2020-09-23,869,138977,4624885,33281
2020-09-24,831,139808,4657702,32817
2020-09-25,729,140537,4689613,31911
2020-09-26,869,141406,4717991,28378
2020-09-27,335,141741,4732309,14318
2020-09-28,317,142058,4745464,13155
2020-09-29,863,142921,4777522,32058
2020-09-30,1031,143952,4810935,33413
2020-10-01,728,144680,4847092,36157
2020-10-02,708,145388,4880523,33431
2020-10-03,599,145987,4906833,26310
2020-10-04,365,146352,4915289,8456
2020-10-05,323,146675,4927235,11946
2020-10-06,819,147494,4969141,41906
2020-10-07,734,148228,5000694,31553
2020-10-08,729,148957,5028444,27750
2020-10-09,682,149639,5055888,27444
2020-10-10,559,150198,5082637,26749
2020-10-11,290,150488,5094979,12342
2020-10-12,201,150689,5103408,8429
2020-10-13,309,150998,5113628,10220
2020-10-14,749,151747,5140863,27235
2020-10-15,713,152460,5169386,28523
2020-10-16,754,153214,5200300,30914
2020-10-17,461,153675,5224362,24062
2020-10-18,230,153905,5235344,10982
2020-10-19,271,154176,5250727,15383
2020-10-20,661,154837,5273954,23227
2020-10-21,566,155403,5298772,24818
2020-10-22,497,155900,5323630,24858
2020-10-23,571,156471,5353656,30026
2020-10-24,432,156903,5380635,26979
2020-10-25,231,157134,5394128,13493
2020-10-26,263,157397,5409854,15726
2020-10-27,549,157946,5439641,29787
2020-10-28,510,158456,5468270,28629
2020-10-29,513,158969,5494376,26106
2020-10-30,508,159477,5516658,22282
2020-10-31,407,159884,5535605,18947
2020-11-01,190,160074,5545705,10100
2020-11-02,179,160253,5554206,8501
2020-11-03,243,160496,5566049,11843
2020-11-04,610,161106,5590025,23976
2020-11-05,630,161736,5612319,22294
2020-11-06,302,162038,5633747,21428
2020-11-07,231,162269,5653561,19814
2020-11-08,128,162397,5664115,10554
2020-11-09,231,162628,5675032,10917
2020-11-10,201,162829,5700044,25012
2020-11-11,544,163373,5748375,48331
2020-11-12,908,164281,5781582,33207
2020-11-13,456,164737,5810652,29070
2020-11-14,921,165658,5848959,38307
2020-11-15,140,165798,5863093,14134
2020-11-16,216,166014,5876464,13371
2020-11-17,685,166699,5911758,35294
2020-11-18,756,167455,5945849,34091
2020-11-19,606,168061,5981767,35918
2020-11-20,552,168613,6020164,38397
2020-11-21,376,168989,6052786,32622
2020-11-22,194,169183,6071401,18615
2020-11-23,302,169485,6087608,16207
2020-11-24,630,170115,6118708,31100
2020-11-25,654,170769,6166606,47898
2020-11-26,691,171460,6204220,37614
2020-11-27,514,171974,6238350,34130
2020-11-28,587,172561,6290272,51922
2020-11-29,272,172833,6314740,24468
2020-11-30,287,173120,6335878,21138
2020-12-01,697,173817,6386787,50909
2020-12-02,698,174515,6436650,49863
2020-12-03,755,175270,6487084,50434
2020-12-04,694,175964,6533968,46884
2020-12-05,664,176628,6577177,43209
2020-12-06,313,176941,6603540,26363
2020-12-07,376,177317,6623911,20371
2020-12-08,842,178159,6674999,51088
2020-12-09,836,178995,6728452,53453
2020-12-10,770,179765,6781799,53347
2020-12-11,672,180437,6836227,54428
2020-12-12,686,181123,6880127,43900
2020-12-13,279,181402,6901952,21825
2020-12-14,433,181835,6927145,25193
2020-12-15,964,182799,6970034,42889
2020-12-16,936,183735,7040608,70574
2020-12-17,1092,184827,7110434,69826
2020-12-18,823,185650,7162978,52544
2020-12-19,706,186356,7213155,50177
2020-12-20,408,186764,7238600,25445
2020-12-21,527,187291,7263619,25019
2020-12-22,968,188259,7318821,55202
2020-12-23,961,189220,7365517,46696
2020-12-24,786,190006,7425593,60076
2020-12-25,482,190488,7448560,22967
2020-12-26,307,190795,7465806,17246
2020-12-27,344,191139,7484285,18479
2020-12-28,431,191570,7504833,20548
2020-12-29,1111,192681,7563551,58718
2020-12-30,1194,193875,7619200,55649
2020-12-31,1074,194949,7675973,56773
2021-01-01,462,195411,7700578,24605
2021-01-02,314,195725,7716405,15827
2021-01-03,293,196018,7733746,17341
2021-01-04,543,196561,7753752,20006
2021-01-05,1171,197732,7810400,56648
2021-01-06,1242,198974,7873830,63430
2021-01-07,1524,200498,7961673,87843
2021-01-08,962,201460,8013708,52035
2021-01-09,1171,202631,8075998,62290
2021-01-10,469,203100,8105790,29792
2021-01-11,480,203580,8131612,25822
2021-01-12,1110,204690,8195637,64025
2021-01-13,1274,205964,8256536,60899
2021-01-14,1131,207095,8324294,67758
2021-01-15,1151,208246,8393492,69198
2021-01-16,1050,209296,8455059,61567
2021-01-17,551,209847,8488099,33040
2021-01-18,452,210299,8511770,23671
2021-01-19,1192,211491,8573864,62094
2021-01-20,1340,212831,8638249,64385
2021-01-21,1316,214147,8697368,59119
2021-01-22,1096,215243,8753920,56552
2021-01-23,1202,216445,8816254,62334
2021-01-24,592,217037,8844577,28323
2021-01-25,627,217664,8871393,26816
2021-01-26,1214,218878,8933356,61963
2021-01-27,1283,220161,8996876,63520
2021-01-28,1386,221547,9058687,61811
2021-01-29,1119,222666,9118513,59826
2021-01-30,1279,223945,9176975,58462
2021-01-31,559,224504,9204731,27756
2021-02-01,595,225099,9229322,24591
2021-02-02,1210,226309,9283418,54096
2021-02-03,1254,227563,9339420,56002
2021-02-04,1232,228795,9396293,56873
2021-02-05,1239,230034,9447165,50872
2021-02-06,978,231012,9497795,50630
2021-02-07,522,231534,9524640,26845
2021-02-08,636,232170,9548079,23439
2021-02-09,1350,233520,9599565,51486
2021-02-10,1330,234850,9659167,59602
2021-02-11,1351,236201,9713909,54742
2021-02-12,1288,237489,9765455,51546
2021-02-13,1043,238532,9809754,44299
2021-02-14,713,239245,9834513,24759
2021-02-15,528,239773,9866710,32197
2021-02-16,1167,240940,9921981,55271
2021-02-17,1150,242090,9978747,56766
2021-02-18,1367,243457,10030626,51879
2021-02-19,1308,244765,10081676,51050
2021-02-20,1212,245977,10139148,57472
2021-02-21,527,246504,10168174,29026
2021-02-22,639,247143,10195160,26986
2021-02-23,1386,248529,10257875,62715
2021-02-24,1428,249957,10324463,66588
2021-02-25,1541,251498,10390461,65998
2021-02-26,1337,252835,10455630,65169
2021-02-27,1386,254221,10517232,61602
2021-02-28,721,254942,10551259,34027
2021-03-01,778,255720,10587001,35742
2021-03-02,1641,257361,10646926,59925
2021-03-03,1910,259271,10718630,71704
2021-03-04,1699,260970,10793732,75102
2021-03-05,1800,262770,10869227,75495
2021-03-06,1555,264325,10938836,69609
2021-03-07,1086,265411,11019344,80508
2021-03-08,987,266398,11051665,32321
2021-03-09,1972,268370,11122429,70764
2021-03-10,2286,270656,11202305,79876
2021-03-11,2233,272889,11277717,75412
2021-03-12,2216,275105,11363380,85663
2021-03-13,1997,277102,11439558,76178
2021-03-14,1127,278229,11483370,43812
2021-03-15,1057,279286,11519609,36239
2021-03-16,2841,282127,11603535,83926
2021-03-17,2648,284775,11693838,90303
2021-03-18,2724,287499,11780820,86982
2021-03-19,2815,290314,11871390,90570
2021-03-20,2438,292752,11950459,79069
2021-03-21,1290,294042,11998233,47774
2021-03-22,1383,295425,12047526,49293
2021-03-23,3251,298676,12130019,82493
2021-03-24,2009,300685,12220011,89992
2021-03-25,2777,303462,12320169,100158
2021-03-26,3650,307112,12404414,84245
2021-03-27,3438,310550,12490362,85948
2021-03-28,1656,312206,12534688,44326
2021-03-29,1660,313866,12573615,38927
2021-03-30,3780,317646,12658109,84494
2021-03-31,3869,321515,12748747,90638
2021-04-01,3769,325284,12839844,91097
2021-04-02,2922,328206,12910082,70238
2021-04-03,1987,330193,12953597,43515
2021-04-04,1240,331433,12984956,31359
2021-04-05,1319,332752,13013601,28645
2021-04-06,4195,336947,13100580,86979
2021-04-07,3829,340776,13193205,92625
2021-04-08,4249,345025,13279857,86652
2021-04-09,3693,348718,13373174,93317
2021-04-10,2616,351334,13445006,71832
2021-04-11,1803,353137,13482023,37017
2021-04-12,1480,354617,13517808,35785
2021-04-13,3808,358425,13599994,82186
2021-04-14,3459,361884,13673507,73513
2021-04-15,3560,365444,13746681,73174
2021-04-16,3305,368749,13832455,85774
2021-04-17,2929,371678,13900091,67636
2021-04-18,1657,373335,13943071,42980
2021-04-19,1347,374682,13973695,30624
2021-04-20,3321,378003,14043076,69381
2021-04-21,3472,381475,14122795,79719
2021-04-22,2027,383502,14167973,45178
2021-04-23,2914,386416,14237078,69105
2021-04-24,3076,389492,14308215,71137
2021-04-25,1305,390797,14340787,32572
2021-04-26,1139,391936,14369423,28636
2021-04-27,3086,395022,14441563,72140
2021-04-28,3163,398185,14521289,79726
2021-04-29,3001,401186,14590678,69389
2021-04-30,2595,403781,14659011,68333
2021-05-01,2656,406437,14725975,66964
2021-05-02,1202,407639,14754910,28935
2021-05-03,983,408622,14779529,24619
2021-05-04,2966,411588,14856888,77359
2021-05-05,2811,414399,14930183,73295
2021-05-06,2550,416949,15003563,73380
2021-05-07,2165,419114,15082449,78886
2021-05-08,2202,421316,15145879,63430
2021-05-09,1024,422340,15184790,38911
2021-05-10,889,423229,15209990,25200
2021-05-11,2311,425540,15282705,72715
2021-05-12,2494,428034,15359397,76692
2021-05-13,2383,430417,15433989,74592
2021-05-14,2211,432628,15519525,85536
2021-05-15,2087,434715,15586534,67009
2021-05-16,1036,435751,15627475,40941
2021-05-17,786,436537,15657391,29916
2021-05-18,2513,439050,15732836,75445
2021-05-19,2641,441691,15812055,79219
2021-05-20,2403,444094,15894094,82039
2021-05-21,2215,446309,15970949,76855
2021-05-22,1899,448208,16047439,76490
2021-05-23,860,449068,16083258,35819
2021-05-24,790,449858,16120756,37498
2021-05-25,2173,452031,16194209,73453
2021-05-26,2398,454429,16274695,80486
2021-05-27,2245,456674,16342162,67467
2021-05-28,2371,459045,16391930,49768
2021-05-29,2012,461057,16471600,79670
2021-05-30,874,461931,16515120,43520
2021-05-31,860,462791,16545554,30434
2021-06-01,2408,465199,16624480,78926
2021-06-02,2507,467706,16720081,95601
2021-06-03,1682,469388,16803472,83391
2021-06-04,1454,470842,16841408,37936
2021-06-05,1689,472531,16907425,66017
2021-06-06,873,473404,16947062,39637
2021-06-07,1010,474414,16984218,37156
2021-06-08,2378,476792,17037129,52911
2021-06-09,2723,479515,17122877,85748
2021-06-10,2504,482019,17210969,88092
2021-06-11,2216,484235,17296118,85149
2021-06-12,2037,486272,17374818,78700
2021-06-13,1129,487401,17412766,37948
2021-06-14,827,488228,17452612,39846
2021-06-15,2468,490696,17533221,80609
2021-06-16,2997,493693,17628588,95367
2021-06-17,2311,496004,17702630,74042
2021-06-18,2495,498499,17801462,98832
2021-06-19,2301,500800,17883750,82288
2021-06-20,1025,501825,17927928,44178
2021-06-21,761,502586,17966831,38903
2021-06-22,2131,504717,18054653,87822
2021-06-23,2392,507109,18169881,115228
2021-06-24,2032,509141,18243483,73602
2021-06-25,2001,511142,18322760,79277
2021-06-26,1593,512735,18386894,64134
2021-06-27,739,513474,18420598,33704
2021-06-28,618,514092,18448402,27804
2021-06-29,1893,515985,18513305,64903
2021-06-30,2081,518066,18557141,43836
2021-07-01,2029,520095,18622304,65163
2021-07-02,1857,521952,18687469,65165
2021-07-03,1635,523587,18742025,54556
2021-07-04,830,524417,18769808,27783
2021-07-05,695,525112,18792511,22703
2021-07-06,1780,526892,18855015,62504
2021-07-07,1648,528540,18909037,54022
2021-07-08,1639,530179,18962762,53725
2021-07-09,1509,531688,19020499,57737
2021-07-10,1205,532893,19069003,48504
2021-07-11,595,533488,19089940,20937
2021-07-12,745,534233,19106971,17031
2021-07-13,1605,535838,19151993,45022
2021-07-14,1556,537394,19209729,57736
2021-07-15,1548,538942,19262518,52789
2021-07-16,1456,540398,19308109,45591
2021-07-17,868,541266,19342448,34339
2021-07-18,948,542214,19376574,34126
2021-07-19,542,542756,19391845,15271
2021-07-20,1424,544180,19419437,27592
2021-07-21,1424,545604,19473954,54517
2021-07-22,1412,547016,19523711,49757
2021-07-23,1324,548340,19632443,108732
2021-07-24,1108,549448,19670534,38091
2021-07-25,476,549924,19688663,18129
2021-07-26,578,550502,19707662,18999
2021-07-27,1333,551835,19749073,41411
2021-07-28,1344,553179,19797086,48013
2021-07-29,1318,554497,19839369,42283
2021-07-30,963,555460,19880273,40904
2021-07-31,910,556370,19917855,37582
2021-08-01,464,556834,19938358,20503
2021-08-02,389,557223,19953501,15143
2021-08-03,1209,558432,19985817,32316
2021-08-04,1175,559607,20026533,40716
2021-08-05,1099,560706,20066587,40054
2021-08-06,1056,561762,20108746,42159
2021-08-07,990,562752,20151779,43033
2021-08-08,399,563151,20165672,13893
2021-08-09,411,563562,20177757,12085
2021-08-10,1211,564773,20212642,34885
2021-08-11,975,565748,20245085,32443
2021-08-12,1148,566896,20285067,39982
2021-08-13,966,567862,20319000,33933
2021-08-14,926,568788,20350142,31142
2021-08-15,270,569058,20364099,13957
2021-08-16,434,569492,20378570,14471
2021-08-17,1106,570598,20416183,37613
2021-08-18,1064,571662,20457897,41714
2021-08-19,979,572641,20494212,36315
2021-08-20,870,573511,20528099,33887
2021-08-21,698,574209,20556487,28388
2021-08-22,318,574527,20570891,14404
2021-08-23,321,574848,20583994,13103
2021-08-24,894,575742,20614866,30872
2021-08-25,903,576645,20645537,30671
2021-08-26,920,577565,20676561,31024
2021-08-27,761,578326,20703906,27345
2021-08-28,684,579010,20728605,24699
2021-08-29,298,579308,20741815,13210
2021-08-30,266,579574,20752281,10466
2021-08-31,839,580413,20776870,24589
2021-09-01,737,581150,20804215,27345
2021-09-02,764,581914,20830495,26280
2021-09-03,756,582670,20856060,25565
2021-09-04,692,583362,20877864,21804
2021-09-05,266,583628,20890779,12915
2021-09-06,182,583810,20899933,9154
2021-09-07,361,584171,20913578,13645
2021-09-08,250,584421,20928008,14430
2021-09-09,753,585174,20958899,30891
2021-09-10,672,585846,20974850,15951
2021-09-11,712,586558,20989164,14314
2021-09-12,293,586851,20999779,10615
2021-09-13,215,587066,21006424,6645
2021-09-14,731,587797,21019830,13406
2021-09-15,800,588597,21034610,14780
2021-09-16,643,589240,21069017,34407
2021-09-17,333,589573,21080219,11202
2021-09-18,935,590508,21230325,150106
2021-09-19,244,590752,21239783,9458
2021-09-20,203,590955,21247667,7884
2021-09-21,485,591440,21247094,-573
2021-09-22,876,592316,21283567,36473
2021-09-23,648,592964,21308178,24611
2021-09-24,699,593663,21327616,19438
2021-09-25,537,594200,21343304,15688
2021-09-26,243,594443,21351972,8668
2021-09-27,210,594653,21366395,14423
2021-09-28,793,595446,21381790,15395
2021-09-29,676,596122,21399546,17756
2021-09-30,627,596749,21427073,27527
2021-10-01,506,597255,21445651,18578
2021-10-02,468,597723,21459117,13466
2021-10-03,225,597948,21468121,9004
2021-10-04,204,598152,21478546,10425
2021-10-05,677,598829,21499074,20528
2021-10-06,530,599359,21516967,17893
2021-10-07,451,599810,21532558,15591
2021-10-08,615,600425,21550730,18172
2021-10-09,404,600829,21567181,16451
2021-10-10,182,601011,21575820,8639
2021-10-11,202,601213,21582738,6918
2021-10-12,185,601398,21590097,7359
2021-10-13,176,601574,21597949,7852
2021-10-14,525,602099,21612237,14288
2021-10-15,570,602669,21627476,15239
2021-10-16,483,603152,21638726,11250
2021-10-17,130,603282,21644464,5738
2021-10-18,183,603465,21651910,7446
2021-10-19,390,603855,21664879,12969
2021-10-20,373,604228,21680488,15609
2021-10-21,451,604679,21697341,16853
2021-10-22,460,605139,21711843,14502
2021-10-23,318,605457,21723559,11716
2021-10-24,187,605644,21729763,6204
2021-10-25,160,605804,21735560,5797
2021-10-26,442,606246,21748984,13424
2021-10-27,433,606679,21766168,17184
2021-10-28,389,607068,21781436,15268
2021-10-29,394,607462,21793401,11965
2021-10-30,232,607694,21804094,10693
2021-10-31,130,607824,21810855,6761
2021-11-01,98,607922,21814693,3838
2021-11-02,149,608071,21821124,6431
2021-11-03,164,608235,21835785,14661
2021-11-04,436,608671,21849137,13352
2021-11-05,389,609060,21862458,13321
2021-11-06,328,609388,21874324,11866
2021-11-07,59,609447,21880439,6115
2021-11-08,126,609573,21886077,5638
2021-11-09,183,609756,21897025,10948
2021-11-10,280,610036,21909298,12273
2021-11-11,188,610224,21924598,15300
2021-11-12,267,610491,21939196,14598
2021-11-13,731,611222,21953838,14642
2021-11-14,61,611283,21957967,4129
2021-11-15,63,611346,21960766,2799
2021-11-16,132,611478,21965684,4918
2021-11-17,373,611851,21977661,11977
2021-11-18,293,612144,21989962,12301
2021-11-19,226,612370,22003317,13355
2021-11-20,217,612587,22012150,8833
2021-11-21,72,612659,22017276,5126
2021-11-22,123,612782,22019870,2594
2021-11-23,284,613066,22030182,10312
2021-11-24,273,613339,22043112,12930
2021-11-25,303,613642,22055238,12126
2021-11-26,315,613957,22067630,12392
2021-11-27,229,614186,22076863,9233
2021-11-28,92,614278,22080906,4043
2021-11-29,98,614376,22084749,3843
2021-11-30,305,614681,22094459,9710
2021-12-01,283,614964,22105872,11413
2021-12-02,215,615179,22118782,12910
2021-12-03,221,615400,22129409,10627
2021-12-04,170,615570,22138247,8838
2021-12-05,66,615636,22143091,4844
2021-12-06,108,615744,22147476,4385
2021-12-07,274,616018,22157726,10250
2021-12-08,233,616251,22167781,10055
2021-12-09,206,616457,22177059,9278
2021-12-10,234,616691,22184824,7765
2021-12-11,53,616744,22188179,3355
2021-12-12,86,616830,22189867,1688
2021-12-13,48,616878,22191949,2082
2021-12-14,92,616970,22195775,3826
2021-12-15,301,617271,22201221,5446
2021-12-16,124,617395,22204941,3720
2021-12-17,206,617601,22209020,4079
2021-12-18,153,617754,22212343,3323
2021-12-19,49,617803,22213762,1419
2021-12-20,70,617873,22215856,2094
2021-12-21,75,617948,22219477,3621
2021-12-22,143,618091,22222928,3451
2021-12-23,137,618228,22226573,3645
2021-12-24,164,618392,22230737,4164
2021-12-25,32,618424,22234626,3889
2021-12-26,24,618448,22239436,4810
2021-12-27,86,618534,22246276,6840
2021-12-28,171,618705,22254706,8430
2021-12-29,112,618817,22263834,9128
2021-12-30,167,618984,22277239,13405
2021-12-31,72,619056,22287521,10282
2022-01-01,49,619105,22291507,3986
2022-01-02,28,619133,22293228,1721
2022-01-03,76,619209,22305078,11850
2022-01-04,175,619384,22323837,18759
2022-01-05,129,619513,22351104,27267
2022-01-06,128,619641,22386930,35826
2022-01-07,181,619822,22450222,63292
2022-01-08,115,619937,22499525,49303
2022-01-09,44,619981,22523907,24382
2022-01-10,110,620091,22558695,34788
2022-01-11,147,620238,22629460,70765
2022-01-12,133,620371,22716931,87471
2022-01-13,174,620545,22814917,97986
2022-01-14,251,620796,22927203,112286
2022-01-15,175,620971,22975723,48520
2022-01-16,74,621045,23000657,24934
2022-01-17,121,621166,23074791,74134
2022-01-18,351,621517,23211894,137103
2022-01-19,338,621855,23416748,204854
2022-01-20,350,622205,23585243,168495
2022-01-21,358,622563,23751782,166539
2022-01-22,238,622801,23909175,157393
2022-01-23,296,623097,24044255,135080
2022-01-24,259,623356,24127595,83340
2022-01-25,487,623843,24311317,183722
2022-01-26,570,624413,24535884,224567
2022-01-27,672,625085,24764838,228954
2022-01-28,799,625884,25034806,269968
2022-01-29,640,626524,25214622,179816
2022-01-30,330,626854,25348797,134175
2022-01-31,284,627138,25426744,77947
2022-02-01,929,628067,25620209,193465
2022-02-02,893,628960,25793112,172903
2022-02-03,1041,630001,26091520,298408
2022-02-04,493,630494,26275831,184311
2022-02-05,1308,631802,26473273,197442
2022-02-06,391,632193,26533010,59737
2022-02-07,428,632621,26599593,66583
2022-02-08,1189,633810,26776620,177027
2022-02-09,1264,635074,26955434,178814
2022-02-10,943,636017,27119500,164066
2022-02-11,1135,637152,27285509,166009
2022-02-12,896,638048,27425743,140234
2022-02-13,314,638362,27479963,54220
2022-02-14,473,638835,27538503,58540
2022-02-15,854,639689,27659052,120549
2022-02-16,1085,640774,27806786,147734
2022-02-17,1128,641902,27937835,131049
2022-02-18,1127,643029,28058862,121027
2022-02-19,851,643880,28167587,108725
2022-02-20,406,644286,28208212,40625
2022-02-21,318,644604,28245551,37339
2022-02-22,816,645420,28351327,105776
2022-02-23,999,646419,28484890,133563
2022-02-24,971,647390,28578647,93757
