data,coduf,regiao,continente,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2022-05-22,NZ,New Zealand,WPRO,6002,1100645,10,1017
2022-05-23,NZ,New Zealand,WPRO,8434,1109079,14,1031
2022-05-24,NZ,New Zealand,WPRO,8169,1117248,10,1041
2022-05-25,NZ,New Zealand,WPRO,7601,1124849,16,1057
2022-05-26,NZ,New Zealand,WPRO,6952,1131801,29,1086
2022-05-27,NZ,New Zealand,WPRO,6348,1138149,12,1098
2022-05-28,NZ,New Zealand,WPRO,4868,1143017,9,1107
2022-05-29,NZ,New Zealand,WPRO,5776,1148793,5,1112
2022-05-30,NZ,New Zealand,WPRO,8434,1157227,16,1128
2022-05-31,NZ,New Zealand,WPRO,8191,1165418,12,1140
2022-06-01,NZ,New Zealand,WPRO,7915,1173333,11,1151
2022-06-02,NZ,New Zealand,WPRO,6250,1179583,12,1163
2022-06-03,NZ,New Zealand,WPRO,6373,1185956,9,1172
2022-06-04,NZ,New Zealand,WPRO,4450,1190406,7,1179
2022-06-05,NZ,New Zealand,WPRO,4469,1194875,7,1186
2022-06-06,NZ,New Zealand,WPRO,5722,1200597,8,1194
2022-06-07,NZ,New Zealand,WPRO,7202,1207799,22,1216
2022-06-08,NZ,New Zealand,WPRO,8017,1215816,24,1240
2022-06-09,NZ,New Zealand,WPRO,6383,1222199,7,1247
2022-06-10,NZ,New Zealand,WPRO,5184,1227383,8,1255
2022-06-11,NZ,New Zealand,WPRO,4534,1231917,6,1261
2022-06-12,NZ,New Zealand,WPRO,10720,1242637,6,1267
2022-06-13,NZ,New Zealand,WPRO,37,1242674,19,1286
2022-06-14,NZ,New Zealand,WPRO,5638,1248312,9,1295
2022-06-15,NZ,New Zealand,WPRO,5542,1253854,13,1308
2022-06-16,NZ,New Zealand,WPRO,4962,1258816,7,1315
2022-06-17,NZ,New Zealand,WPRO,4517,1263333,8,1323
2022-06-18,NZ,New Zealand,WPRO,3402,1266735,5,1328
2022-06-19,NZ,New Zealand,WPRO,4077,1270812,9,1337
2022-06-20,NZ,New Zealand,WPRO,5792,1276604,13,1350
2022-06-21,NZ,New Zealand,WPRO,5679,1282283,18,1368
2022-06-22,NZ,New Zealand,WPRO,5391,1287674,12,1380
2022-06-23,NZ,New Zealand,WPRO,0,1287674,0,1380
2022-06-24,NZ,New Zealand,WPRO,9054,1296728,24,1404
2022-06-25,NZ,New Zealand,WPRO,4672,1301400,6,1410
2022-06-26,NZ,New Zealand,WPRO,12954,1314354,11,1421
2022-06-27,NZ,New Zealand,WPRO,997,1315351,16,1437
2022-06-28,NZ,New Zealand,WPRO,8177,1323528,12,1449
2022-06-29,NZ,New Zealand,WPRO,7723,1331251,17,1466
2022-06-30,NZ,New Zealand,WPRO,7195,1338446,7,1473
2022-07-01,NZ,New Zealand,WPRO,6729,1345175,20,1493
2022-07-02,NZ,New Zealand,WPRO,5359,1350534,14,1507
2022-07-03,NZ,New Zealand,WPRO,0,1350534,5,1512
2022-07-04,NZ,New Zealand,WPRO,6503,1357037,22,1534
2022-07-05,NZ,New Zealand,WPRO,9816,1366853,12,1546
2022-07-06,NZ,New Zealand,WPRO,16808,1383661,15,1561
2022-07-07,NZ,New Zealand,WPRO,6724,1390385,20,1581
2022-07-08,NZ,New Zealand,WPRO,13734,1404119,22,1603
2022-07-09,NZ,New Zealand,WPRO,9318,1413437,8,1611
2022-07-10,NZ,New Zealand,WPRO,7495,1420932,17,1628
2022-07-11,NZ,New Zealand,WPRO,8400,1429332,17,1645
2022-07-12,NZ,New Zealand,WPRO,11597,1440929,29,1674
2022-07-13,NZ,New Zealand,WPRO,11592,1452521,23,1697
2022-07-14,NZ,New Zealand,WPRO,11551,1464072,16,1713
2022-07-15,NZ,New Zealand,WPRO,10803,1474875,27,1740
2022-07-16,NZ,New Zealand,WPRO,9352,1484227,22,1762
2022-07-17,NZ,New Zealand,WPRO,6379,1490606,22,1784
2022-07-18,NZ,New Zealand,WPRO,7796,1498402,19,1803
2022-07-19,NZ,New Zealand,WPRO,10196,1508598,34,1837
2022-07-20,NZ,New Zealand,WPRO,10574,1519172,31,1868
2022-07-21,NZ,New Zealand,WPRO,10061,1529233,22,1890
2022-07-22,NZ,New Zealand,WPRO,9087,1538320,21,1911
2022-07-23,NZ,New Zealand,WPRO,7891,1546211,14,1925
2022-07-24,NZ,New Zealand,WPRO,5564,1551775,16,1941
2022-07-25,NZ,New Zealand,WPRO,7008,1558783,98,2039
2022-07-26,NZ,New Zealand,WPRO,9507,1568290,44,2083
2022-07-27,NZ,New Zealand,WPRO,8986,1577276,12,2095
2022-07-28,NZ,New Zealand,WPRO,7699,1584975,0,2095
2022-07-29,NZ,New Zealand,WPRO,7918,1592893,0,2095
2022-07-30,NZ,New Zealand,WPRO,6309,1599202,0,2095
2022-07-31,NZ,New Zealand,WPRO,4176,1603378,0,2095
2022-08-01,NZ,New Zealand,WPRO,5581,1608959,0,2095
2022-08-02,NZ,New Zealand,WPRO,6988,1615947,0,2095
2022-08-03,NZ,New Zealand,WPRO,6374,1622321,0,2095
2022-08-04,NZ,New Zealand,WPRO,6395,1628716,0,2095
2022-08-05,NZ,New Zealand,WPRO,5505,1634221,0,2095
2022-08-06,NZ,New Zealand,WPRO,4837,1639058,0,2095
2022-08-07,NZ,New Zealand,WPRO,3322,1642380,0,2095
2022-08-08,NZ,New Zealand,WPRO,3963,1646343,0,2095
2022-08-09,NZ,New Zealand,WPRO,6003,1652346,0,2095
2022-08-10,NZ,New Zealand,WPRO,5277,1657623,0,2095
2022-08-11,NZ,New Zealand,WPRO,5022,1662645,0,2095
2022-08-12,NZ,New Zealand,WPRO,4156,1666801,0,2095
2022-08-13,NZ,New Zealand,WPRO,3682,1670483,0,2095
2022-08-14,NZ,New Zealand,WPRO,2597,1673080,0,2095
2022-08-15,NZ,New Zealand,WPRO,3413,1676493,0,2095
2022-08-16,NZ,New Zealand,WPRO,4854,1681347,0,2095
2022-08-17,NZ,New Zealand,WPRO,4502,1685849,0,2095
2022-08-18,NZ,New Zealand,WPRO,4537,1690386,0,2095
2022-08-19,NZ,New Zealand,WPRO,3949,1694335,0,2095
2022-08-20,NZ,New Zealand,WPRO,3374,1697709,0,2095
2022-08-21,NZ,New Zealand,WPRO,2053,1699762,0,2095
2022-08-22,NZ,New Zealand,WPRO,2700,1702462,0,2095
2022-08-23,NZ,New Zealand,WPRO,3762,1706224,0,2095
2022-08-24,NZ,New Zealand,WPRO,3200,1709424,0,2095
2022-08-25,NZ,New Zealand,WPRO,2768,1712192,0,2095
2022-08-26,NZ,New Zealand,WPRO,2488,1714680,0,2095
2022-08-27,NZ,New Zealand,WPRO,0,1714680,0,2095
2022-08-28,NZ,New Zealand,WPRO,3493,1718173,0,2095
2022-08-29,NZ,New Zealand,WPRO,1638,1719811,0,2095
2022-08-30,NZ,New Zealand,WPRO,2560,1722371,0,2095
2022-08-31,NZ,New Zealand,WPRO,2238,1724609,0,2095
2022-09-01,NZ,New Zealand,WPRO,2129,1726738,0,2095
2022-09-02,NZ,New Zealand,WPRO,1902,1728640,0,2095
2022-09-03,NZ,New Zealand,WPRO,0,1728640,0,2095
2022-09-04,NZ,New Zealand,WPRO,2607,1731247,0,2095
2022-09-05,NZ,New Zealand,WPRO,1288,1732535,0,2095
2022-09-06,NZ,New Zealand,WPRO,2094,1734629,0,2095
2022-09-07,NZ,New Zealand,WPRO,1838,1736467,0,2095
2022-09-08,NZ,New Zealand,WPRO,1703,1738170,0,2095
2022-09-09,NZ,New Zealand,WPRO,1548,1739718,0,2095
2022-09-10,NZ,New Zealand,WPRO,0,1739718,0,2095
2022-09-11,NZ,New Zealand,WPRO,2285,1742003,0,2095
2022-09-12,NZ,New Zealand,WPRO,1159,1743162,0,2095
2022-09-13,NZ,New Zealand,WPRO,2019,1745181,0,2095
2022-09-14,NZ,New Zealand,WPRO,0,1745181,0,2095
2022-09-15,NZ,New Zealand,WPRO,0,1745181,0,2095
2022-09-16,NZ,New Zealand,WPRO,0,1745181,0,2095
2022-09-17,NZ,New Zealand,WPRO,0,1745181,0,2095
2022-09-18,NZ,New Zealand,WPRO,0,1745181,0,2095
2022-09-19,NZ,New Zealand,WPRO,7219,1752400,0,2095
2022-09-20,NZ,New Zealand,WPRO,0,1752400,0,2095
2022-09-21,NZ,New Zealand,WPRO,0,1752400,0,2095
2022-09-22,NZ,New Zealand,WPRO,0,1752400,0,2095
2022-09-23,NZ,New Zealand,WPRO,0,1752400,0,2095
2022-09-24,NZ,New Zealand,WPRO,0,1752400,0,2095
2022-09-25,NZ,New Zealand,WPRO,0,1752400,0,2095
2022-09-26,NZ,New Zealand,WPRO,0,1752400,0,2095
2022-09-27,NZ,New Zealand,WPRO,9809,1762209,0,2095
2022-09-28,NZ,New Zealand,WPRO,0,1762209,0,2095
2022-09-29,NZ,New Zealand,WPRO,0,1762209,0,2095
2022-09-30,NZ,New Zealand,WPRO,0,1762209,0,2095
2022-10-01,NZ,New Zealand,WPRO,9807,1772016,0,2095
2022-10-02,NZ,New Zealand,WPRO,0,1772016,0,2095
2022-10-03,NZ,New Zealand,WPRO,0,1772016,0,2095
2022-10-04,NZ,New Zealand,WPRO,0,1772016,0,2095
2022-10-05,NZ,New Zealand,WPRO,0,1772016,0,2095
2022-10-06,NZ,New Zealand,WPRO,0,1772016,0,2095
2022-10-07,NZ,New Zealand,WPRO,0,1772016,0,2095
2022-10-08,NZ,New Zealand,WPRO,0,1772016,0,2095
2022-10-09,NZ,New Zealand,WPRO,0,1772016,0,2095
2022-10-10,NZ,New Zealand,WPRO,11019,1783035,0,2095
2022-10-11,NZ,New Zealand,WPRO,0,1783035,0,2095
2022-10-12,NZ,New Zealand,WPRO,0,1783035,0,2095
2022-10-13,NZ,New Zealand,WPRO,0,1783035,0,2095
