data,coduf,obitosNovos
2021-02-18,NZ,0
2021-02-19,NZ,0
2021-02-20,NZ,0
2021-02-21,NZ,0
2021-02-22,NZ,0
2021-02-23,NZ,0
2021-02-24,NZ,0
2021-02-25,NZ,0
2021-02-26,NZ,0
2021-02-27,NZ,0
